#{"t_start": 1779077250.7570078, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,frozen_threat_ticks,spell_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
2.913591,75,10202.52578,medium,0.9235981308411215,2.9235981308411216,2,743,4,2,2,2,2,0,0,0,0,0.028621495327102568,30,0.0642932242990654,0.004293224299065385,0.060000000000000005,0.0,0.0
1.880031,65,10221.410026,medium,0.846183800623053,1.846183800623053,1,649,4,2,2,2,2,0,0,0,0,0.018317757009345768,48,0.09874766355140187,0.0027476635514018647,0.096,0.0,0.0
2.807894,65,10240.443751,medium,0.7652647975077882,2.765264797507788,2,650,4,2,2,2,2,0,0,0,0,0.05086448598130722,65,0.10762967289719609,0.007629672897196084,0.1,0.0,0.0
0.475915,58,10257.695522,medium,0.4322429906542056,0.4322429906542056,0,578,4,2,2,2,2,0,0,0,0,0.009813084112149581,55,0.10147196261682244,0.0014719626168224371,0.1,0.0,0.0
3.005972,82,10286.008449,medium,0.9813084112149533,2.981308411214953,2,812,4,2,2,2,2,0,0,0,0,0.03908878504672828,58,0.10586331775700925,0.0058633177570092425,0.1,0.0,0.0
2.75144,71,10306.557653,medium,0.7700155763239875,2.7700155763239875,2,705,4,2,2,2,2,0,0,0,0,0.05282710280373774,22,0.05192406542056066,0.00792406542056066,0.044,0.0,0.0
0.392367,69,10326.832798,medium,0.35965732087227414,0.35965732087227414,0,681,4,2,2,2,2,0,0,0,0,0.005397196261682261,65,0.10080957943925234,0.000809579439252339,0.1,0.0,0.0
2.962148,90,10352.234263,medium,0.9528816199376947,2.9528816199376946,2,900,4,2,2,2,2,0,0,0,0,0.021775700934579516,48,0.09926635514018693,0.0032663551401869275,0.096,0.0,0.0
2.764691,88,10378.107282,medium,0.7814018691588785,2.7814018691588784,2,879,4,2,2,2,2,0,0,0,0,0.021261682242990104,34,0.07118925233644852,0.003189252336448516,0.068,0.0,0.0
2.932603,90,10404.316939,medium,0.9442367601246106,2.9442367601246104,2,894,4,2,2,2,2,0,0,0,0,0.011775700934578932,38,0.07776635514018686,0.0017663551401868398,0.07600000000000001,0.0,0.0
1.728988,90,10434.954796,medium,0.7147196261682243,1.7147196261682243,1,900,4,2,2,2,2,0,0,0,0,0.02845794392523341,65,0.10426869158878502,0.004268691588785011,0.1,0.0,0.0
3.965562,75,10456.472409,medium,1.0,4.0,3,750,4,2,2,2,2,0,0,0,0,0.05707943925233595,16,0.040561915887850394,0.008561915887850392,0.032,0.0,0.0
4.005957,63,10474.94511,medium,1.0,4.0,3,630,4,2,2,2,2,0,0,0,0,0.00637850467289721,34,0.06895677570093459,0.0009567757009345815,0.068,0.0,0.0
2.874478,78,10497.650946,medium,0.8471183800623053,2.847118380062305,2,774,4,2,2,2,2,0,0,0,0,0.031728971962616495,58,0.10475934579439249,0.004759345794392475,0.1,0.0,0.0
2.739567,61,10515.980472,medium,0.7363707165109035,2.7363707165109035,2,601,4,2,2,2,2,0,0,0,0,0.03531152647975084,29,0.06329672897196263,0.0052967289719626255,0.058,0.0,0.0
0.463115,80,10539.066931,medium,0.4415109034267913,0.4415109034267913,0,795,4,2,2,2,2,0,0,0,0,0.007359813084112174,58,0.10110397196261683,0.001103971962616826,0.1,0.0,0.0
0.4625,72,10560.210195,medium,0.43304517133956394,0.43304517133956394,0,716,4,2,2,2,2,0,0,0,0,0.007032710280373909,72,0.1010549065420561,0.0010549065420560862,0.1,0.0,0.0
3.948278,55,10581.008321,medium,1.0,4.0,3,542,4,2,2,2,2,0,0,0,0,0.016518691588785127,0,0.002477803738317769,0.002477803738317769,0.0,0.0,0.0
