#{"t_start": 1778878527.957164, "env_id": "None"}
r,l,t,damage_pct,score,stars,ticks_elapsed
2.602026,59,1983.683415,0.6608255451713395,2.6608255451713396,2,588
3.9384,62,2001.095443,1.0,4.0,3,616
2.794745,72,2024.968658,0.8667445482866044,2.8667445482866043,2,720
1.614449,72,2044.530478,0.6864485981308411,1.6864485981308412,1,720
0.222825,55,2060.515565,0.27702492211838003,0.27702492211838003,0,542
2.451087,65,2078.423739,0.5151869158878505,2.5151869158878504,2,641
2.602872,60,2095.014491,0.6620716510903427,2.6620716510903426,2,592
0.398437,63,2113.264562,0.46113707165109036,0.46113707165109036,0,627
1.455392,56,2130.61561,0.5105919003115265,1.5105919003115265,1,552
0.355372,57,2147.113878,0.41207165109034266,0.41207165109034266,0,567
0.37652,72,2171.636623,0.4485202492211838,0.4485202492211838,0,720
1.599573,72,2191.274148,0.6715732087227414,1.6715732087227413,1,720
0.354168,72,2209.8678,0.4261682242990654,0.4261682242990654,0,720
1.551287,72,2229.203522,0.6232866043613707,1.6232866043613707,1,720
2.770757,72,2249.04329,0.8427570093457943,2.842757009345794,2,720
0.281963,65,2266.833182,0.3469626168224299,0.3469626168224299,0,650
0.418386,63,2284.409459,0.481386292834891,0.481386292834891,0,630
2.548512,61,2305.817394,0.6091121495327103,2.6091121495327103,2,606
1.568031,72,2326.15159,0.640031152647975,1.6400311526479752,1,720
0.408919,72,2347.196657,0.4809190031152648,0.4809190031152648,0,720
3.9354,65,2365.07701,1.0,4.0,3,646
1.433019,56,2379.821428,0.489018691588785,1.489018691588785,1,560
0.412363,60,2396.220711,0.4719626168224299,0.4719626168224299,0,596
2.785399,72,2416.704415,0.857398753894081,2.8573987538940813,2,720
2.753779,72,2437.859415,0.825778816199377,2.825778816199377,2,720
0.365584,56,2457.826875,0.42118380062305294,0.42118380062305294,0,556
2.795309,70,2477.400445,0.8651090342679127,2.865109034267913,2,698
2.631974,66,2594.936988,0.6972741433021807,2.697274143302181,2,653
3.9338,67,2614.030558,1.0,4.0,3,662
2.699283,64,2632.218819,0.7623831775700934,2.7623831775700936,2,631
0.419636,58,2649.759241,0.47733644859813085,0.47733644859813085,0,577
1.460604,68,2670.109494,0.527803738317757,1.527803738317757,1,672
0.379882,65,2690.813958,0.44478193146417444,0.44478193146417444,0,649
2.683154,66,2715.524878,0.7487538940809969,2.748753894080997,2,656
2.896769,72,2735.31928,0.9687694704049844,2.9687694704049843,2,720
2.698093,72,2756.123478,0.7700934579439253,2.770093457943925,2,720
2.785941,70,2776.511828,0.8558411214953271,2.855841121495327,2,699
2.738046,72,2797.243553,0.8093457943925234,2.8093457943925233,2,713
2.699807,72,2817.654911,0.7718068535825545,2.7718068535825546,2,720
1.641785,72,2837.594076,0.7137850467289719,1.713785046728972,1,720
2.520421,71,2861.312473,0.5911214953271028,2.5911214953271027,2,707
