profile,seed,damage_pct,score,stars,steps,ticks,terminated,truncated
hard,300359,0.18918764302059496,0.18918764302059496,0,62,611,True,False
medium,300360,0.8956386292834891,2.8956386292834893,2,80,791,True,False
hard,300361,0.16401601830663615,0.16401601830663615,0,67,664,True,False
medium,300362,0.45350467289719626,0.45350467289719626,0,64,632,True,False
hard,300363,0.18552631578947368,0.18552631578947368,0,62,620,True,False
medium,300364,0.45716510903426794,0.45716510903426794,0,60,597,True,False
hard,300365,0.2732837528604119,0.2732837528604119,0,61,602,True,False
medium,300366,0.4632398753894081,0.4632398753894081,0,66,659,True,False
hard,300367,0.3715675057208238,0.3715675057208238,0,71,704,True,False
medium,300368,0.3982866043613707,0.3982866043613707,0,67,661,True,False
hard,300369,0.17225400457665904,0.17225400457665904,0,72,715,True,False
medium,300370,0.4326323987538941,0.4326323987538941,0,73,730,True,False
hard,300371,0.14919908466819223,0.14919908466819223,0,60,594,True,False
medium,300372,0.3088006230529595,0.3088006230529595,0,61,607,True,False
hard,300373,0.20240274599542335,0.20240274599542335,0,63,624,True,False
medium,300374,0.397803738317757,0.397803738317757,0,78,777,True,False
hard,300375,0.2851258581235698,0.2851258581235698,0,61,608,True,False
medium,300376,0.3633956386292835,0.3633956386292835,0,60,594,True,False
hard,300377,0.1402745995423341,0.1402745995423341,0,58,580,True,False
medium,300378,0.542601246105919,2.542601246105919,2,74,739,True,False
hard,300379,0.21212814645308925,0.21212814645308925,0,67,663,True,False
medium,300380,0.7566978193146418,1.7566978193146419,1,90,900,False,True
hard,300381,0.21001144164759725,0.21001144164759725,0,70,697,True,False
medium,300382,0.4255451713395639,0.4255451713395639,0,90,900,False,True
hard,300383,0.21962242562929063,0.21962242562929063,0,61,601,True,False
medium,300384,0.9448598130841122,2.944859813084112,2,90,900,False,True
hard,300385,0.12505720823798627,0.12505720823798627,0,57,567,True,False
medium,300386,0.1674454828660436,0.1674454828660436,0,61,606,True,False
hard,300387,0.21681922196796338,0.21681922196796338,0,62,614,True,False
medium,300388,0.46098130841121493,0.46098130841121493,0,64,640,True,False
hard,300389,0.24136155606407322,0.24136155606407322,0,61,601,True,False
medium,300390,0.41690031152647977,0.41690031152647977,0,68,672,True,False
hard,300391,0.20720823798627003,0.20720823798627003,0,62,614,True,False
medium,300392,1.0,4.0,3,67,667,True,False
