label,profile,seed,score,damage_pct,stars,steps,ticks,terminated,truncated,deployments,deployment_unique_cells,deployment_top_cell_fraction,deployment_top3_cell_fraction,deployment_quadrant_entropy,active_nearest_distance_mean,active_close_pair_fraction_mean,active_quadrant_entropy_mean,troop_damage_taken_pct,cannon_damage_pct,wizard_tower_damage_pct,mortar_damage_pct,bomb_damage_pct,splash_damage_pct,cannon_deaths,wizard_tower_deaths,mortar_deaths,bomb_deaths,splash_deaths,multi_hit_splash_events,wizard_tower_multi_hit_events,mortar_multi_hit_events,bomb_multi_hit_events,wall_breakers_deployed,wall_breaker_explosions,wall_breakers_dead_without_explosion,wall_segments_damaged_by_wb,wall_segments_destroyed_by_wb,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,spells_remaining,townhall_destroyed,defenses_destroyed
final,hard,600040,0.450949656750572,0.450949656750572,0,76,751,1,0,65,3,0.6461538461538462,1.0,-0.0,1.6928357983513158,0.2534290784290784,0.03386826167358679,0.9784225352112674,0.08715492957746483,0.30732394366197147,0.5642253521126761,0.01971830985915493,0.8912676056338026,3,21,29,3,53,47,21,25,1,15,9,6,45,20,4,4,0,0,0,4
final,hard,600041,1.4787185354691077,0.47871853546910764,1,76,757,1,0,65,3,0.6461538461538462,1.0,-0.0,2.3466189098507297,0.20233805233805233,0.0,0.9396619718309855,0.05149295774647888,0.3538591549295771,0.5343098591549297,0.0,0.8881690140845068,2,23,25,0,48,40,19,21,0,15,15,0,59,27,4,4,0,0,1,3
final,hard,600042,0.44720823798626996,0.44720823798626996,0,78,775,1,0,65,2,0.7692307692307693,1.0,-0.0,3.5642534902441,0.17783493562714342,0.34031302206317726,0.9154929577464781,0.28121126760563325,0.2660563380281688,0.36822535211267593,0.0,0.6342816901408448,18,16,16,0,32,23,11,12,0,15,15,0,71,35,4,4,0,0,0,4
final,hard,600043,2.5242448512585813,0.5242448512585812,2,78,774,1,0,65,2,0.7692307692307693,1.0,-0.0,3.072245578255007,0.14494474823422193,0.39266068724221775,0.9154929577464783,0.05149295774647888,0.33504225352112627,0.46056338028169014,0.0683943661971831,0.8639999999999995,2,24,19,5,48,20,7,12,1,15,15,0,72,30,4,4,0,0,1,3
final,hard,600044,0.4294050343249428,0.4294050343249428,0,90,893,1,0,65,2,0.7692307692307693,1.0,-0.0,3.263260111326656,0.13434869683198558,0.32217850532712383,0.9441126760563379,0.14887323943661981,0.25881690140845043,0.5251549295774648,0.011267605633802818,0.7952394366197182,6,15,30,1,46,41,19,22,0,15,13,2,55,25,4,4,0,0,0,4
final,hard,600045,1.5837528604118993,0.5837528604118993,1,85,849,1,0,65,2,0.7692307692307693,1.0,-0.0,2.6362790878686897,0.19437830687830684,0.26806077563094705,0.9323943661971824,0.21853521126760536,0.28760563380281656,0.42625352112676057,0.0,0.7138591549295772,12,15,26,0,41,41,26,15,0,15,12,3,44,17,4,4,0,0,0,5
final,hard,600046,1.465903890160183,0.4659038901601831,1,80,797,1,0,65,3,0.6307692307692307,1.0,-0.0,2.258956606487752,0.18321277878239903,0.2255101500891854,0.9613802816901403,0.05149295774647888,0.34321126760563336,0.5666760563380281,0.0,0.9098873239436616,2,22,32,0,54,50,24,26,0,15,9,6,41,20,4,4,0,0,1,3
final,hard,600047,0.40720251716247136,0.40720251716247136,0,77,769,1,0,65,2,0.7692307692307693,1.0,-0.0,2.9095873505725645,0.17964951714951716,0.21880115876973544,0.9154929577464782,0.28005633802816843,0.19022535211267602,0.43394366197183093,0.011267605633802818,0.6354366197183098,6,12,31,1,44,20,5,15,0,15,15,0,66,32,4,4,0,0,0,3
final,hard,600048,2.6118993135011443,0.6118993135011441,2,83,823,1,0,65,2,0.7692307692307693,1.0,-0.0,1.9149688819530402,0.2053182589767956,0.31813477242149124,0.9999999999999997,0.24833802816901368,0.07887323943661975,0.655887323943662,0.016901408450704224,0.7516619718309859,23,7,31,4,42,25,5,19,1,15,0,15,0,0,4,4,0,0,1,4
final,hard,600049,0.4104462242562925,0.4104462242562925,0,79,782,1,0,65,2,0.7692307692307693,1.0,-0.0,2.258610902580397,0.1412124200585739,0.22196565102996701,0.9666478873239431,0.15470422535211276,0.36783098591549246,0.4225915492957745,0.02152112676056338,0.8119436619718303,8,19,27,2,48,51,30,20,1,15,9,6,39,17,4,4,0,0,0,3
