profile,seed,steps,ticks,score,damage_pct,stars,terminated,truncated,wall_breakers_deployed,wall_breakers_alive_final,wall_breaker_explosions,wall_breakers_dead_without_explosion,wb_wall_damage,wb_unique_walls_damaged,wb_unique_walls_destroyed,wb_fresh_walls_destroyed,wb_predamaged_walls_destroyed,final_walls_damaged,final_walls_destroyed,total_wall_damage
hard,220151,56,554,0.2857551487414188,0.2857551487414188,0,True,False,10,0,9,1,6680.0,25,20,0,20,31,25,8424.300000000001
hard,220152,57,568,0.3836384439359268,0.3836384439359268,0,True,False,10,0,10,0,6600.0,22,22,0,22,24,23,7110.0
hard,220153,56,556,0.31109839816933615,0.31109839816933615,0,True,False,10,0,10,0,7500.0,25,25,0,25,28,27,8380.0
hard,220154,55,542,1.374141876430206,0.37414187643020597,1,True,False,10,0,10,0,5400.0,18,18,0,18,21,20,6035.0
hard,220155,55,549,0.41120137299771164,0.41120137299771164,0,True,False,10,0,10,0,7500.0,25,25,0,25,32,31,9327.3
hard,220156,53,525,0.2308924485125858,0.2308924485125858,0,True,False,10,0,10,0,7437.0,25,25,0,25,25,25,7500.0
hard,220157,56,555,0.32179633867276886,0.32179633867276886,0,True,False,10,0,10,0,7489.5,30,20,0,20,35,23,8480.5
hard,220158,52,517,0.36229977116704803,0.36229977116704803,0,True,False,10,0,10,0,5100.0,17,17,0,17,21,21,6300.0
hard,220159,54,540,1.4576659038901603,0.4576659038901602,1,True,False,10,0,10,0,6300.0,21,21,0,21,23,23,6900.0
hard,220160,56,558,0.2637299771167048,0.2637299771167048,0,True,False,10,0,10,0,7500.0,25,25,0,25,26,26,7800.0
hard,220161,53,526,0.2721395881006865,0.2721395881006865,0,True,False,10,0,9,1,5775.0,21,16,0,16,23,18,6375.0
hard,220162,55,548,0.21967963386727687,0.21967963386727687,0,True,False,10,0,10,0,7248.0,25,25,0,25,26,26,7800.0
hard,220163,71,702,2.734553775743707,0.7345537757437071,2,True,False,10,0,10,0,6300.0,23,19,0,19,39,37,11417.5
hard,220164,55,547,0.36475972540045765,0.36475972540045765,0,True,False,10,0,10,0,5400.0,18,18,0,18,22,22,6600.0
hard,220165,54,539,0.28306636155606407,0.28306636155606407,0,True,False,10,0,10,0,6300.0,26,16,0,16,29,19,7200.0
hard,220166,52,515,0.3476544622425629,0.3476544622425629,0,True,False,10,0,10,0,5400.0,18,18,0,18,20,20,6000.0
hard,220167,53,523,0.1399313501144165,0.1399313501144165,0,True,False,10,0,10,0,6600.0,22,22,0,22,23,22,6684.0
hard,220168,53,528,0.27911899313501143,0.27911899313501143,0,True,False,10,0,10,0,7335.0,28,20,0,20,36,27,9515.5
hard,220169,56,552,0.12505720823798627,0.12505720823798627,0,True,False,10,0,8,2,5400.0,18,18,0,18,19,19,5700.0
hard,220170,55,548,0.334324942791762,0.334324942791762,0,True,False,10,0,10,0,7500.0,30,20,0,20,36,23,8501.5
hard,220171,56,553,0.2549199084668192,0.2549199084668192,0,True,False,10,0,10,0,7500.0,30,20,0,20,33,22,8212.0
hard,220172,54,535,0.2481121281464531,0.2481121281464531,0,True,False,10,0,10,0,6300.0,21,21,0,21,26,23,7124.0
