profile,seed,steps,ticks,score,damage_pct,stars,terminated,truncated,wall_breakers_deployed,wall_breakers_alive_final,wall_breaker_explosions,wall_breakers_dead_without_explosion,wb_wall_damage,wb_unique_walls_damaged,wb_unique_walls_destroyed,wb_fresh_walls_destroyed,wb_predamaged_walls_destroyed,final_walls_damaged,final_walls_destroyed,total_wall_damage
medium,210095,47,461,4.0,1.0,3,True,False,6,1,5,0,3450.0,13,10,0,10,33,28,9113.2
medium,210096,58,580,1.564252336448598,0.5642523364485982,1,True,False,10,0,10,0,5400.0,23,13,0,13,28,18,6900.0
medium,210097,49,488,4.0,1.0,3,True,False,6,1,5,0,3150.0,13,8,0,8,34,28,9382.0
medium,210098,58,573,0.4360591900311526,0.4360591900311526,0,True,False,10,0,10,0,5700.0,21,17,0,17,31,27,8700.0
medium,210099,56,558,4.0,1.0,3,True,False,10,0,10,0,7500.0,25,25,0,25,50,49,14752.5
medium,210100,70,693,2.8373052959501557,0.8373052959501558,2,True,False,10,0,9,1,6750.0,25,20,0,20,30,25,8250.0
medium,210101,57,570,2.797507788161994,0.7975077881619937,2,True,False,10,0,10,0,7500.0,25,25,0,25,36,35,10773.0
medium,210102,61,605,2.7640965732087226,0.7640965732087227,2,True,False,10,0,10,0,5850.0,23,16,0,16,35,28,9450.0
medium,210103,64,635,2.9034267912772584,0.9034267912772586,2,True,False,10,0,10,0,6600.0,22,22,0,22,38,36,10985.5
medium,210104,58,573,0.4415109034267913,0.4415109034267913,0,True,False,10,0,10,0,6000.0,21,19,0,19,26,24,7500.0
medium,210105,64,640,4.0,1.0,3,True,False,10,0,10,0,5100.0,17,17,0,17,34,34,10200.0
medium,210106,54,531,4.0,1.0,3,True,False,10,1,9,0,5850.0,20,19,0,19,31,30,9150.0
medium,210107,69,687,4.0,1.0,3,True,False,10,0,10,0,7500.0,30,20,0,20,42,32,11100.0
medium,210108,88,875,2.9376947040498442,0.9376947040498442,2,True,False,10,0,10,0,6300.0,21,21,0,21,38,37,11233.0
medium,210109,60,594,2.5763239875389408,0.5763239875389408,2,True,False,10,0,6,4,4500.0,15,15,0,15,41,40,12136.5
medium,210110,64,637,2.912484423676012,0.9124844236760121,2,True,False,10,0,10,0,6491.5,22,22,0,22,30,29,8889.0
medium,210111,37,362,4.0,1.0,3,True,False,0,0,0,0,0.0,0,0,0,0,3,2,806.5
medium,210112,53,524,4.0,1.0,3,True,False,10,0,10,0,6693.0,26,21,0,21,36,31,10050.0
medium,210113,57,567,0.4672897196261682,0.4672897196261682,0,True,False,10,0,10,0,6300.0,21,21,0,21,36,33,10239.5
medium,210114,51,508,2.6909657320872276,0.6909657320872274,2,True,False,10,0,10,0,7500.0,25,25,0,25,41,39,11910.0
medium,210115,65,643,1.5048286604361372,0.5048286604361371,1,True,False,10,0,9,1,6150.0,21,20,0,20,25,24,7350.0
medium,210116,54,535,2.7042056074766356,0.7042056074766355,2,True,False,10,0,10,0,7412.0,27,24,0,24,45,41,12848.0
medium,210117,56,552,4.0,1.0,3,True,False,10,0,10,0,7500.0,25,25,0,25,39,37,11418.5
medium,210118,43,423,4.0,1.0,3,True,False,1,1,0,0,0.0,0,0,0,0,8,6,2192.0
medium,210119,55,547,2.644626168224299,0.6446261682242991,2,True,False,10,0,10,0,6596.5,22,22,0,22,36,34,10469.5
medium,210120,60,594,4.0,1.0,3,True,False,10,0,10,0,6114.5,21,21,0,21,48,47,14194.5
medium,210121,90,900,2.6838785046728972,0.6838785046728972,2,False,True,10,0,10,0,5256.5,18,18,0,18,29,29,8700.0
medium,210122,58,574,2.888551401869159,0.8885514018691589,2,True,False,10,0,10,0,5700.0,19,19,0,19,30,30,9000.0
medium,210123,49,482,4.0,1.0,3,True,False,7,1,6,0,4500.0,15,15,0,15,29,29,8700.0
medium,210124,50,493,4.0,1.0,3,True,False,6,1,5,0,3750.0,15,10,0,10,30,24,7985.0
medium,210125,71,703,2.735202492211838,0.735202492211838,2,True,False,10,0,10,0,6300.0,21,21,0,21,26,25,7713.5
medium,210126,53,521,2.797507788161994,0.7975077881619937,2,True,False,10,0,10,0,6000.0,24,16,0,16,30,20,7398.8
medium,210127,56,551,0.23901869158878505,0.23901869158878505,0,True,False,10,0,10,0,7500.0,25,25,0,25,28,28,8400.0
medium,210128,58,572,0.41697819314641743,0.41697819314641743,0,True,False,10,0,10,0,6146.0,22,20,0,20,38,37,11250.0
medium,210129,55,545,2.6299065420560748,0.6299065420560748,2,True,False,10,0,10,0,6600.0,27,17,0,17,29,19,7200.0
medium,210130,64,638,1.6417445482866042,0.6417445482866043,1,True,False,10,0,10,0,4950.0,19,14,0,14,37,30,9830.5
medium,210131,58,575,0.43169781931464174,0.43169781931464174,0,True,False,10,0,10,0,7500.0,25,25,0,25,39,37,11481.5
medium,210132,81,810,2.969859813084112,0.9698598130841122,2,True,False,10,0,10,0,7500.0,25,25,0,25,39,39,11700.0
medium,210133,56,551,1.5261682242990653,0.5261682242990654,1,True,False,10,0,10,0,6300.0,21,21,0,21,36,34,10284.0
medium,210134,54,538,2.765809968847352,0.765809968847352,2,True,False,10,0,10,0,7500.0,25,25,0,25,30,29,8910.0
medium,210135,53,526,2.797507788161994,0.7975077881619937,2,True,False,10,0,10,0,7500.0,25,25,0,25,34,32,9838.35
medium,210136,49,487,4.0,1.0,3,True,False,7,0,7,0,4350.0,15,14,0,14,25,23,7085.0
medium,210137,62,612,4.0,1.0,3,True,False,10,0,10,0,6847.5,26,20,0,20,52,50,15300.0
medium,210138,54,536,2.699766355140187,0.6997663551401869,2,True,False,10,0,10,0,6300.0,21,21,0,21,34,32,9726.0
medium,210139,54,538,2.6386292834890965,0.6386292834890965,2,True,False,10,0,10,0,4444.25,19,14,0,14,34,28,9186.4
medium,210140,64,640,4.0,1.0,3,True,False,10,0,10,0,6000.0,24,16,0,16,39,30,10342.1
medium,210141,69,686,2.8771028037383175,0.8771028037383177,2,True,False,10,0,10,0,6300.0,26,16,0,16,37,26,9328.0
medium,210142,54,536,2.707476635514019,0.7074766355140187,2,True,False,10,0,10,0,7500.0,25,25,0,25,36,35,10609.2
medium,210143,54,538,2.747274143302181,0.7472741433021807,2,True,False,10,0,10,0,6600.0,22,22,0,22,34,34,10200.0
medium,210144,51,508,2.67095015576324,0.6709501557632399,2,True,False,10,0,10,0,6600.0,22,22,0,22,26,26,7800.0
medium,210145,90,900,2.8704828660436137,0.8704828660436137,2,False,True,10,0,10,0,6300.0,22,20,0,20,41,38,12050.5
medium,210146,83,828,2.781542056074766,0.7815420560747663,2,True,False,10,0,10,0,7500.0,25,25,0,25,31,29,8970.2
medium,210147,71,709,2.797507788161994,0.7975077881619937,2,True,False,10,0,10,0,7200.0,29,19,0,19,38,28,9900.0
medium,210148,54,536,2.763084112149533,0.7630841121495328,2,True,False,10,0,10,0,7500.0,25,25,0,25,31,31,9300.0
medium,210149,58,576,4.0,1.0,3,True,False,10,0,9,1,6750.0,25,20,0,20,56,50,15820.0
medium,210150,50,500,4.0,1.0,3,True,False,7,0,7,0,5250.0,20,15,0,15,31,26,8550.0
medium,210151,59,586,2.9026479750778815,0.9026479750778816,2,True,False,10,0,10,0,6600.0,22,22,0,22,32,32,9600.0
medium,210152,50,493,4.0,1.0,3,True,False,8,3,5,0,3722.0,16,9,0,9,37,30,9980.5
medium,210153,55,545,0.22593457943925233,0.22593457943925233,0,True,False,10,0,10,0,6600.0,22,22,0,22,26,26,7800.0
medium,210154,66,660,2.909423676012461,0.9094236760124611,2,True,False,10,0,10,0,7500.0,25,25,0,25,44,41,13021.0
medium,210155,90,900,2.8598130841121496,0.8598130841121495,2,False,True,10,0,10,0,7500.0,25,25,0,25,30,29,8882.0
medium,210156,75,744,2.925233644859813,0.9252336448598131,2,True,False,10,0,10,0,7500.0,30,20,0,20,52,41,13873.5
medium,210157,43,427,4.0,1.0,3,True,False,2,0,2,0,1500.0,5,5,0,5,15,14,4322.5
medium,210158,77,770,2.949143302180685,0.9491433021806853,2,True,False,10,0,10,0,6600.0,22,22,0,22,32,31,9576.5
medium,210159,59,586,4.0,1.0,3,True,False,10,0,10,0,7050.0,30,17,0,17,53,37,13435.0
medium,210160,56,557,4.0,1.0,3,True,False,10,0,10,0,6300.0,21,21,0,21,37,37,11100.0
medium,210161,52,516,2.778816199376947,0.778816199376947,2,True,False,10,0,10,0,7500.0,25,25,0,25,38,36,11034.5
medium,210162,58,573,2.5807632398753895,0.5807632398753894,2,True,False,10,0,10,0,7500.0,25,25,0,25,35,34,10305.0
medium,210163,74,731,4.0,1.0,3,True,False,10,0,10,0,7500.0,25,25,0,25,39,38,11464.4
medium,210164,56,558,2.6555295950155764,0.6555295950155763,2,True,False,10,0,10,0,7500.0,25,25,0,25,37,35,10580.5
medium,210165,57,565,4.0,1.0,3,True,False,10,1,9,0,5850.0,22,17,0,17,37,31,10179.5
medium,210166,55,546,2.735202492211838,0.735202492211838,2,True,False,10,0,10,0,6300.0,21,21,0,21,29,28,8627.5
medium,210167,56,552,2.688785046728972,0.688785046728972,2,True,False,10,0,10,0,4395.0,18,12,0,12,32,26,8700.0
medium,210168,42,418,4.0,1.0,3,True,False,0,0,0,0,0.0,0,0,0,0,10,8,2571.5
medium,210169,43,424,4.0,1.0,3,True,False,1,0,1,0,750.0,5,0,0,0,14,7,3165.0
medium,210170,55,547,4.0,1.0,3,True,False,10,0,10,0,6300.0,21,21,0,21,35,33,10285.0
medium,210171,56,558,0.4468068535825545,0.4468068535825545,0,True,False,10,0,10,0,7500.0,25,25,0,25,34,33,9904.55
medium,210172,50,491,4.0,1.0,3,True,False,6,1,5,0,3750.0,15,10,0,10,32,25,8390.0
medium,210173,53,526,2.735202492211838,0.735202492211838,2,True,False,10,0,10,0,6000.0,20,20,0,20,26,25,7752.0
medium,210174,45,442,4.0,1.0,3,True,False,1,0,1,0,750.0,5,0,0,0,17,9,3938.6000000000004
