#{"t_start": 1779135060.2803037, "env_id": "None"}
r,l,t,profile,damage_pct,score,stars,ticks_elapsed,spell_casts,rage_casts,freeze_casts,useful_rage_casts,useful_freeze_casts,wasted_spell_casts,wasted_rage_casts,wasted_freeze_casts,spells_remaining,rage_bonus_damage_pct,rage_bonus_defense_damage_pct,rage_bonus_townhall_damage_pct,defense_damage_pct,townhall_damage_pct,defenses_destroyed,townhall_destroyed,frozen_threat_ticks,frozen_threat_damage_pct,spell_shaping_reward_total,objective_shaping_reward_total,rage_effect_reward_total,freeze_effect_reward_total,defense_damage_reward_total,townhall_damage_reward_total,defense_destroy_reward_total,townhall_destroy_reward_total,wasted_spell_penalty_total,unused_spell_penalty_total
0.592926,81,44311.101985,hard,0.46036613272311205,0.46036613272311205,0,810,8,4,4,4,4,0,0,0,0,0.011967963386727625,0.02527472527472527,0.008399999999999637,0.4391483516483504,0.41673333333333296,3,False,100,0.07915492957746478,0.10418878718535468,0.10937113553113534,0.0041887871853546685,0.1,0.05269780219780204,0.0416733333333333,0.015,0.0,0.0,0.0
2.825309,82,44338.768175,hard,0.5836956521739131,2.583695652173913,2,813,8,4,4,4,4,0,0,0,0,0.047351258581234845,0.019903846153846265,0.13789999999999406,0.49491758241758144,1.0,3,True,72,0.06126760563380282,0.0985236447287843,0.22439010989010977,0.01657294050343219,0.08195070422535211,0.05939010989010976,0.09999999999999999,0.015,0.05,0.0,0.0
0.559095,76,44364.47262,hard,0.4327574370709377,0.4327574370709377,0,756,8,4,4,4,4,0,0,0,0,0.02234553775743656,0.02567307692307691,0.06789999999999707,0.39160714285714177,0.3712333333333304,2,False,119,0.09952464788732394,0.1078209382151028,0.09411619047619003,0.007820938215102796,0.1,0.046992857142856996,0.03712333333333304,0.01,0.0,0.0,0.0
0.400056,77,44389.644107,hard,0.3303203661327231,0.3303203661327231,0,761,8,4,4,4,4,0,0,0,0,0.0,0.0,0.0,0.2986263736263736,0.0,2,False,100,0.07362676056338029,0.1,0.04583516483516484,0.0,0.1,0.035835164835164836,0.0,0.01,0.0,0.0,0.0
0.305196,81,44416.439757,hard,0.2817048054919909,0.2817048054919909,0,802,8,4,4,4,4,0,0,0,0,0.008770022883295233,0.020480769230769347,0.0,0.3901098901098891,0.0,3,False,37,0.027077464788732394,0.041877606600702624,0.0618131868131867,0.0030695080091533307,0.038808098591549295,0.0468131868131867,0.0,0.015,0.0,0.0,0.0
0.463447,83,44443.554312,hard,0.36922196796338674,0.36922196796338674,0,825,8,4,4,4,4,0,0,0,0,0.04194508009153334,0.043846153846154125,0.0,0.3920329670329658,0.0,3,False,191,0.17753521126760563,0.11468077803203668,0.06204395604395589,0.014680778032036667,0.1,0.04704395604395589,0.0,0.015,0.0,0.0,0.0
2.724962,75,44473.482994,hard,0.5020881006864989,2.502088100686499,2,746,8,4,4,4,4,0,0,0,0,0.004565217391304363,0.004326923076923124,0.016099999999999975,0.29896978021978005,0.9999999999999994,2,True,120,0.1132394366197183,0.10159782608695653,0.19587637362637356,0.0015978260869565272,0.1,0.03587637362637361,0.09999999999999995,0.01,0.05,0.0,0.0
1.730318,90,44503.834671,hard,0.5883123569794048,1.5883123569794049,1,900,8,4,4,4,4,0,0,0,0,0.04025743707093801,0.02527472527472527,0.03989999999999828,0.5054945054945043,0.4225666666666649,3,False,170,0.1465845070422535,0.11409010297482831,0.117916007326007,0.014090102974828305,0.1,0.06065934065934051,0.04225666666666649,0.015,0.0,0.0,0.0
0.517717,87,44533.509257,hard,0.41939359267734555,0.41939359267734555,0,863,8,4,4,4,4,0,0,0,0,0.008924485125858122,0.021428571428571425,0.0,0.512499999999999,0.0,4,False,154,0.13691901408450705,0.10312356979405035,0.08149999999999986,0.0031235697940503425,0.1,0.06149999999999987,0.0,0.02,0.0,0.0,0.0
0.550194,82,44560.030521,hard,0.43867276887871853,0.43867276887871853,0,813,8,4,4,4,4,0,0,0,0,0.016475972540045788,0.0,0.0,0.5587912087912088,0.0,4,False,141,0.0941725352112676,0.10576659038901604,0.08705494505494504,0.005766590389016026,0.1,0.06705494505494504,0.0,0.02,0.0,0.0,0.0
1.776144,90,44589.329846,hard,0.5929061784897025,1.5929061784897025,1,900,8,4,4,4,4,0,0,0,0,0.02005720823798638,0.04815934065934093,0.0,0.6868131868131891,0.588,5,False,172,0.1507394366197183,0.10702002288329523,0.1662175824175827,0.007020022883295234,0.1,0.0824175824175827,0.0588,0.025,0.0,0.0,0.0
2.912559,76,44614.197446,hard,0.6326201372997712,2.6326201372997713,2,760,8,4,4,4,4,0,0,0,0,0.021292906178489734,0.051126373626373706,0.0,0.6123901098901098,1.0,5,True,116,0.08457746478873239,0.10745251716247141,0.2484868131868132,0.007452517162471406,0.1,0.07348681318681317,0.1,0.025,0.05,0.0,0.0
2.612353,70,44637.411085,hard,0.5183237986270024,2.5183237986270024,2,698,5,3,2,3,2,0,0,0,3,0.003964530892448535,0.009519230769230823,0.0,0.33795329670329627,1.0,2,True,48,0.03718309859154929,-0.03672509024398104,0.20055439560439559,0.0013875858123569872,0.051887323943661974,0.040554395604395554,0.1,0.01,0.05,0.0,0.09
0.698485,77,44667.539767,hard,0.48913615560640683,0.48913615560640683,0,770,8,4,4,4,4,0,0,0,0,0.027991990846681428,0.0034615384615384595,0.15469999999999715,0.5009615384615383,0.9643666666666599,4,False,124,0.09441901408450704,0.10979719679633851,0.17655205128205062,0.0097971967963385,0.1,0.060115384615384605,0.09643666666666602,0.02,0.0,0.0,0.0
1.687634,74,44692.416648,hard,0.4794794050343249,1.479479405034325,1,737,8,4,4,4,4,0,0,0,0,0.0003604118993135052,0.0008653846153846252,0.0,0.2446840659340659,1.0,2,True,96,0.059154929577464786,0.09249234134785833,0.18936208791208792,0.00012614416475972682,0.0923661971830986,0.029362087912087914,0.1,0.01,0.05,0.0,0.0
2.887662,78,44718.807478,hard,0.6086384439359268,2.6086384439359267,2,774,8,4,4,4,4,0,0,0,0,0.056704805491989925,0.00461538461538461,0.23029999999999431,0.5548076923076921,0.9999999999999961,4,True,117,0.08355633802816902,0.11984668192219647,0.23657692307692268,0.01984668192219647,0.1,0.06657692307692306,0.09999999999999962,0.02,0.05,0.0,0.0
0.568645,90,44748.013871,hard,0.4490846681922197,0.4490846681922197,0,900,8,4,4,4,4,0,0,0,0,0.010572082379862697,0.021923076923077062,0.0,0.45494505494505405,0.31266666666666665,4,False,104,0.07359154929577465,0.10370022883295195,0.10586007326007317,0.0037002288329519434,0.1,0.054593406593406495,0.031266666666666665,0.02,0.0,0.0,0.0
0.423152,80,44774.631978,hard,0.3447368421052632,0.3447368421052632,0,798,8,4,4,4,4,0,0,0,0,0.007448512585812402,0.017884615384615492,0.0,0.28516483516483465,0.11666666666666667,2,False,88,0.07429577464788732,0.10232881039094982,0.05588644688644683,0.0026069794050343404,0.09972183098591549,0.034219780219780165,0.011666666666666669,0.01,0.0,0.0,0.0
2.837803,76,44798.723198,hard,0.5701372997711668,2.570137299771167,2,753,8,4,4,4,4,0,0,0,0,0.014296338672768567,0.0028846153846154164,0.006300000000000001,0.5663461538461538,0.9999999999999997,4,True,168,0.1428169014084507,0.105003718535469,0.23796153846153845,0.005003718535468998,0.1,0.06796153846153848,0.09999999999999996,0.02,0.05,0.0,0.0
0.428018,82,44831.242398,hard,0.3517448512585811,0.3517448512585811,0,820,8,4,4,4,4,0,0,0,0,0.01790045766590341,0.00432692307692289,0.0,0.35006868131868113,0.0,2,False,95,0.09179577464788732,0.1062651601830662,0.052008241758241744,0.006265160183066193,0.1,0.04200824175824174,0.0,0.01,0.0,0.0,0.0
2.789317,79,44857.481835,hard,0.543649885583524,2.543649885583524,2,790,8,4,4,4,4,0,0,0,0,0.03375858123569722,0.0,0.1966999999999958,0.3987637362637363,0.9999999999999959,3,True,204,0.16827464788732394,0.11181550343249404,0.212851648351648,0.011815503432494026,0.1,0.04785164835164836,0.09999999999999962,0.015,0.05,0.0,0.0
1.711309,82,44885.386309,hard,0.5827803203661327,1.5827803203661328,1,811,8,4,4,4,4,0,0,0,0,0.02926773455377544,0.02527472527472527,0.0,0.6615384615384603,0.0,4,False,125,0.09012323943661972,0.1102437070938214,0.09938461538461524,0.010243707093821405,0.1,0.07938461538461523,0.0,0.02,0.0,0.0,0.0
